ts,stream,key,value,tags
2025-10-21 12:58:09.224399+00:00,funnel,checkout_to_purchase,0.022561602952835567,{}
2025-10-21 12:59:09.224399+00:00,funnel,checkout_to_purchase,0.027676888766366408,{}
2025-10-21 13:00:09.224399+00:00,funnel,checkout_to_purchase,0.0238410623558294,{}
2025-10-21 13:01:09.224399+00:00,funnel,checkout_to_purchase,0.026060568070075306,{}
2025-10-21 13:02:09.224399+00:00,funnel,checkout_to_purchase,0.017071945513735764,{}
2025-10-21 13:03:09.224399+00:00,funnel,checkout_to_purchase,0.024559512124201988,{}
2025-10-21 13:04:09.224399+00:00,funnel,checkout_to_purchase,0.02328611569633699,{}
2025-10-21 13:05:09.224399+00:00,funnel,checkout_to_purchase,0.021266064670160366,{}
2025-10-21 13:06:09.224399+00:00,funnel,checkout_to_purchase,0.022537015005629806,{}
2025-10-21 13:07:09.224399+00:00,funnel,checkout_to_purchase,0.01998575335782308,{}
2025-10-21 13:08:09.224399+00:00,funnel,checkout_to_purchase,0.022823270672614644,{}
2025-10-21 13:09:09.224399+00:00,funnel,checkout_to_purchase,0.020284516798585586,{}
2025-10-21 13:10:09.224399+00:00,funnel,checkout_to_purchase,0.019881011069281695,{}
2025-10-21 13:11:09.224399+00:00,funnel,checkout_to_purchase,0.02165306473919042,{}
2025-10-21 13:12:09.224399+00:00,funnel,checkout_to_purchase,0.021173055417709127,{}
2025-10-21 13:13:09.224399+00:00,funnel,checkout_to_purchase,0.022940138803474112,{}
2025-10-21 13:14:09.224399+00:00,funnel,checkout_to_purchase,0.02039750307702855,{}
2025-10-21 13:15:09.224399+00:00,funnel,checkout_to_purchase,0.022114366601442847,{}
2025-10-21 13:16:09.224399+00:00,funnel,checkout_to_purchase,0.018460478966583427,{}
2025-10-21 13:17:09.224399+00:00,funnel,checkout_to_purchase,0.01894848322245751,{}
2025-10-21 13:18:09.224399+00:00,funnel,checkout_to_purchase,0.023221383504577458,{}
2025-10-21 13:19:09.224399+00:00,funnel,checkout_to_purchase,0.020074148991728876,{}
2025-10-21 13:20:09.224399+00:00,funnel,checkout_to_purchase,0.021586661033633426,{}
2025-10-21 13:21:09.224399+00:00,funnel,checkout_to_purchase,0.02052346913033283,{}
2025-10-21 13:22:09.224399+00:00,funnel,checkout_to_purchase,0.02080758304499482,{}
2025-10-21 13:23:09.224399+00:00,funnel,checkout_to_purchase,0.020800225642920604,{}
2025-10-21 13:24:09.224399+00:00,funnel,checkout_to_purchase,0.023275429707160546,{}
2025-10-21 13:25:09.224399+00:00,funnel,checkout_to_purchase,0.02014209521857328,{}
2025-10-21 13:26:09.224399+00:00,funnel,checkout_to_purchase,0.02440734753503617,{}
2025-10-21 13:27:09.224399+00:00,funnel,checkout_to_purchase,0.02160023914571551,{}
2025-10-21 13:28:09.224399+00:00,funnel,checkout_to_purchase,0.02109446467204253,{}
2025-10-21 13:29:09.224399+00:00,funnel,checkout_to_purchase,0.024907782369037946,{}
2025-10-21 13:30:09.224399+00:00,funnel,checkout_to_purchase,0.02126955122254487,{}
2025-10-21 13:31:09.224399+00:00,funnel,checkout_to_purchase,0.02699233553624174,{}
2025-10-21 13:32:09.224399+00:00,funnel,checkout_to_purchase,0.022470121441903055,{}
2025-10-21 13:33:09.224399+00:00,funnel,checkout_to_purchase,0.02128918142484919,{}
2025-10-21 13:34:09.224399+00:00,funnel,checkout_to_purchase,0.019425264932526328,{}
2025-10-21 13:35:09.224399+00:00,funnel,checkout_to_purchase,0.021850710930243804,{}
2025-10-21 13:36:09.224399+00:00,funnel,checkout_to_purchase,0.02159560039791926,{}
2025-10-21 13:37:09.224399+00:00,funnel,checkout_to_purchase,0.015585006902876966,{}
2025-10-21 13:38:09.224399+00:00,funnel,checkout_to_purchase,0.02089388456234243,{}
2025-10-21 13:39:09.224399+00:00,funnel,checkout_to_purchase,0.0184780398956048,{}
2025-10-21 13:40:09.224399+00:00,funnel,checkout_to_purchase,0.022752980399295818,{}
2025-10-21 13:41:09.224399+00:00,funnel,checkout_to_purchase,0.022102583983558324,{}
2025-10-21 13:42:09.224399+00:00,funnel,checkout_to_purchase,0.022097139872983323,{}
2025-10-21 13:43:09.224399+00:00,funnel,checkout_to_purchase,0.022935892304647206,{}
2025-10-21 13:44:09.224399+00:00,funnel,checkout_to_purchase,0.020467863102743667,{}
2025-10-21 13:45:09.224399+00:00,funnel,checkout_to_purchase,0.019560347923335324,{}
2025-10-21 13:46:09.224399+00:00,funnel,checkout_to_purchase,0.02069486928920611,{}
2025-10-21 13:47:09.224399+00:00,funnel,checkout_to_purchase,0.02059848040777419,{}
2025-10-21 13:48:09.224399+00:00,funnel,checkout_to_purchase,0.018413485300186147,{}
2025-10-21 13:49:09.224399+00:00,funnel,checkout_to_purchase,0.01859823772110401,{}
